"STATION","NAME","DATE","PRCP","SNOW"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-01","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-02","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-03","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-04","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-05","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-06","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-07","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-08","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-09","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-10","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-11","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-12","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-13","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-14","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-15","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-16","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-17","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-18","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-19","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-20","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-21","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-22","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-23","0.00","0.0"
"US1AZMR0632","CAVE CREEK 3.9 SSW, AZ US","2025-01-24","0.00","0.0"
